VistaOrder,SourceFile,Date,CustomerID,Status,ImportedAt
12528,12528.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
12538,12538.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
12531,12531.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
1779,1779.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
12529,12529.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
1773,1773.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
12545,12545.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
7381718,7381718.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791518,791518.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791520,791520.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791525,791525.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791519,791519.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791526,791526.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
12514,12514.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791523,791523.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791524,791524.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791529,791529.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791522,791522.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791527,791527.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791528,791528.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791532,791532.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791530,791530.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791531,791531.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791533,791533.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791535,791535.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791534,791534.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791536,791536.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791537,791537.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791538,791538.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791553,791553.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791540,791540.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791555,791555.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791554,791554.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791579,791579.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791578,791578.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791594,791594.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791606,791606.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791607,791607.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791588,791588.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791619,791619.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791622,791622.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791623,791623.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791624,791624.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791625,791625.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791631,791631.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791633,791633.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791634,791634.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791639,791639.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791640,791640.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791626,791626.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791648,791648.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791641,791641.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791652,791652.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791653,791653.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791650,791650.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791657,791657.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791660,791660.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791661,791661.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791659,791659.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791658,791658.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791662,791662.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
791663,791663.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.571Z
